Pattern
LoadFile
LoadFromFile
LoadFromMemory
LoadImageW
LoadLibraryA
LoadLibraryExW
LoadLibraryW
LocalFree
LockFileEx
LogThreadsafe
MainPS
MainVS
MapVirtualKeyW
MeasureText
MediaNextTrack
MediaPlayPause
MediaPrevTrack
MediaStop
MessageBoxA
MessageBoxW
MiddleButton
ModeChange
ModifiedAny
MultiByteToWideChar
NomadFX
NonConvert
NumLock
OEMATTN
OEMAuto
OEMBackTab
OEMCUSel
OEMClear
OEMComma
OEMCopy
OEMENLW
OEMFinish
OEMJump
OEMMinus
OEMPeriod
OEMPlus
OEMReset
OEMWSCtrl
OnCreateWindow
OnFileEvent
OnGameShutdown
OnGameStateChange
OnLoad
OnPostInit
OnPreInit
OnRenderH
OnRenderff
OnResize
OnUnloadH
OnUpdate
OnWindowResized
OnlineHooks
OpenClipboard
OpenProcess
OpenThread
OutputDebugStringA
OutputDebugStringW
POSITION
ParseConfig
PathCanonicalizeA
PathRemoveFileSpecW
PeekMessageW
PlayBroadcast
PostInit
PostMessageA
PostMessageW
PostQuitMessage
ProcessKey
ProgressBar
ProperShutdown
PropertyEditor
PutPlayerInVehicleDelayed
QueryPerformanceCounter
QueryPerformanceFrequency
RaiseException
ReadDPI
ReadFile
ReadSwapchainDesc
ReadyHandler
RedrawWindow
RefreshKeybind
RefreshKeybinds
RegCloseKey
RegOpenKeyExW
RegQueryValueExW
RegisterClassExW
RegisterCommand
RegisterKeyHandler
RegisterRawInputDevices
ReleaseCapture
RemoveDirectory
RemoveDirectoryW
RenderManagerFinishCommandlist
RenderTarget
RepairVehicle
ReportMemoryLeak
RequestExit
ResetBroadcastToDefault
ResetEvent
ResizableGridLayout
RestoreState
ResumeThread
RightButton
RightControl
RightMenu
RightShift
RightWindows
RootElement
RtlCaptureContext
RtlGetVersion
RtlLookupFunctionEntry
RtlVirtualUnwind
RunPostInitTasks
SATAUAVAWH
SNRttp
SUVATAUAVAWH
SUVWATAUAVAWH
SUVWATAVAWH
SUVWAUAVAWH
SUVWAVAWH
SUVWAVH
SUVWAWH
SVATAVAWH
SVWATAUAVAWH
SVWAUH
SVWAVAWH
SVWAVH
SaveState
ScriptHook
ScrollLock
SelectObject
SendMessageW
SetCapture
SetChecked
SetClipboardData
SetColor
SetConsoleCtrlHandler
SetConsoleTextAttribute
SetConsoleTitleA
SetConstant
SetCursor
SetDPIAware
SetDescription
SetEndOfFile
SetEntityGraphicKitModel
SetEntryEnabled
SetEntryText
SetEvent
SetFilePointerEx
SetFont
SetFrameRate
SetGlobalTrafficLightState
SetHeatLevel
SetLastError
SetLocalPlayerFreeCamera
SetLocalPlayerGraphicKitModel
SetLocalPlayerNoclip
SetMinHeatLevel
SetNamedPipeHandleState
SetProcessDpiAwareness
SetProgression
SetSearchHeat
SetSize
SetThreadContext
SetTimer
SetTitle
SetUnhandledExceptionFilter
SetValue
SetVehicleLicensePlateText
SetVehicleLightBehaviorFlag
SetVehiclePartPosition
SetVehiclePartRotation
SetWindowLongPtrW
SetWindowLongW
SetWindowPos
SetWindowTextW
SetupBufferForSize
ShellExecuteA
ShowNotification
ShowWindow
SimpleMenu
SimpleTextInput
SleepConditionVariableCS
SleepEx
SpawnEntityFromArchetypeHash
StartupUIMain
SuspendThread
SwapBuffers
SymFromAddr
SymGetOptions
SymInitialize
SymSetOptions
SystemTimeToFileTime
TEXCOORD
TabControl
TerminateProcess
TextAlign
TextInput
ToUnicode
ToggleFelonySystem
ToggleWorldImpostor
ToggleWorldSpawner
TrackMouseEvent
TransactNamedPipe
TranslateMessage
UATAUAVAWH
UATAUAWH
UAUAVH
UAUAWH
UAVAWH
UISimpleMenu
UNKNOWN
USVWATAUAVAWH
USVWATAVAWH
USVWAVH
UUUUUUU
UVWATAUAVAWH
UVWATAWH
UVWAUAWH
UVWAVAWH
UVWAWH
UWATAUAVH
UWATAVAWH
UWATAVAWI
UnhandledExceptionFilter
UnknownAll
UnlockFileEx
UnregisterClassW
UnregisterResource
UpdateLayered
UpdateLayeredWindow
UpdateProcThreadAttribute
UpdateWindowDimensions
UplayPlus
VATAUAVAWH
VAUAVAWH
VAVAWH
VERBOSE
VWATAUAVAW
VWATAUAWH
VWATAVAWH
VWAUAVAWH
VideoBuffer
VirtualAlloc
VirtualFree
VirtualProtect
VirtualQuery
VolumeDown
VolumeMute
VolumeUp
WARNING
WATAUAVAWH
WATAUAVAWL
WATAVH
WAVAWH
WSASocketW
WaitForSingleObject
WaitForSingleObjectEx
WaitNamedPipe
WaitNamedPipeW
WakeAllConditionVariable
WakeConditionVariable
WideCharToMultiByte
WinHttpCloseHandle
WinHttpConnect
WinHttpCrackUrl
WinHttpOpen
WinHttpOpenRequest
WinHttpQueryHeaders
WinHttpReceiveResponse
WinHttpSendRequest
WriteFile
